label,raza_display
7,Affenpinscher
63,Afghan Hound
38,African Hunting Dog
5,Airedale
51,American Staffordshire Terrier
90,Appenzeller
101,Australian Shepherd
9,Australian Terrier
100,Basenji
99,Basset
111,Beagle
45,Bedlington Terrier
42,Bernese Mountain Dog
115,Bichon Frise
70,Black And Tan Coonhound
107,Black Sable
25,Blenheim Spaniel
27,Bloodhound
55,Bluetick
108,Border Collie
19,Border Terrier
74,Borzoi
81,Boston Bull
88,Bouvier Des Flandres
72,Boxer
30,Brabancon Griffo
79,Briard
84,Brittany Spaniel
82,Bull Mastiff
36,Cairn
104,Cane Carso
113,Cardigan
48,Chesapeake Bay Retriever
123,Chihuahua
91,Chinese Crested Dog
119,Chinese Rural Dog
118,Chow
95,Clumber
112,Cocker Spaniel
76,Collie
11,Curly Coated Retriever
39,Dandie Dinmont
31,Dhole
56,Dingo
33,Doberman
65,English Foxhound
15,English Setter
110,English Springer
62,Entlebucher
85,Eskimo Dog
59,Fila Braziliero
22,Flat Coated Retriever
1,French Bulldog
37,German Shepherd
41,German Short Haired Pointer
86,Giant Schnauzer
125,Golden Retriever
77,Gordon Setter
20,Great Dane
71,Great Pyrenees
96,Greater Swiss Mountain Dog
75,Groenendael
34,Ibizan Hound
24,Irish Setter
26,Irish Terrier
57,Irish Water Spaniel
67,Irish Wolfhound
98,Italian Greyhound
103,Japanese Spaniel
105,Japanese Spitzes
66,Keeshond
32,Kelpie
78,Kerry Blue Terrier
117,Komondor
64,Kuvasz
121,Labrador Retriever
49,Lakeland Terrier
44,Leonberg
47,Lhasa
3,Malamute
87,Malinois
102,Maltese Dog
61,Mexican Hairless
126,Miniature Pinscher
6,Miniature Poodle
92,Miniature Schnauzer
46,Newfoundland
16,Norfolk Terrier
54,Norwegian Elkhound
13,Norwich Terrier
106,Old English Sheepdog
52,Otterhound
129,Papillon
124,Pekinese
17,Pembroke
4,Pomeranian
128,Pug
28,Redbone
80,Rhodesian Ridgeback
69,Rottweiler
43,Saint Bernard
23,Saluki
58,Samoyed
8,Schipperke
21,Scotch Terrier
68,Scottish Deerhound
40,Sealyham Terrier
109,Shetland Sheepdog
0,Shiba Dog
122,Shih Tzu
2,Siberian Husky
83,Silky Terrier
93,Soft Coated Wheaten Terrier
12,Staffordshire Bullterrier
116,Standard Poodle
60,Standard Schnauzer
53,Sussex Spaniel
127,Teddy
18,Tibetan Mastiff
14,Tibetan Terrier
114,Toy Poodle
97,Toy Terrier
35,Vizsla
50,Walker Hound
94,Weimaraner
10,Welsh Springer Spaniel
29,West Highland White Terrier
89,Whippet
73,Wire Haired Fox Terrier
120,Yorkshire Terrier
