PetID,ruta_imagen_principal,conjunto_petfinder,raza_principal,raza_secundaria,prob_adopcion_lenta_petfinder_final,pred_adopcion_lenta_petfinder_final,nivel_riesgo_relativo,origen_score_petfinder_final
3422e4906,data/raw_petfinder/train_images/3422e4906-1.jpg,train,Mixed Breed,,0.6079666714849059,1,Alto,OOF desarrollo
5842f1ff5,data/raw_petfinder/train_images/5842f1ff5-1.jpg,train,Mixed Breed,,0.6551055391062814,1,Alto,OOF desarrollo
850a43f90,data/raw_petfinder/train_images/850a43f90-1.jpg,test,Mixed Breed,,0.4449403730605064,1,Bajo,Test fuera de muestra
97aa9eeac,data/raw_petfinder/train_images/97aa9eeac-1.jpg,valid,Mixed Breed,,0.5259629659938004,1,Medio,OOF desarrollo
8b693ca84,data/raw_petfinder/train_images/8b693ca84-1.jpg,train,Mixed Breed,,0.3317242320062479,0,Bajo,OOF desarrollo
aaedd873d,data/raw_petfinder/train_images/aaedd873d-1.jpg,train,Mixed Breed,,0.3224614544898284,0,Bajo,OOF desarrollo
c02be41e6,data/raw_petfinder/train_images/c02be41e6-1.jpg,test,Mixed Breed,,0.5182756048198818,1,Medio,Test fuera de muestra
1fd342e17,data/raw_petfinder/train_images/1fd342e17-1.jpg,train,Terrier,Shih Tzu,0.5065776484179545,1,Medio,OOF desarrollo
f9d07d5fa,data/raw_petfinder/train_images/f9d07d5fa-1.jpg,train,Mixed Breed,Mixed Breed,0.7030518851881706,1,Alto,OOF desarrollo
1c92ce464,data/raw_petfinder/train_images/1c92ce464-1.jpg,train,Mixed Breed,,0.5033747590554684,1,Medio,OOF desarrollo
6436c1a59,data/raw_petfinder/train_images/6436c1a59-1.jpg,train,Mixed Breed,,0.6711282624545212,1,Alto,OOF desarrollo
234a5a54c,data/raw_petfinder/train_images/234a5a54c-1.jpg,train,Mixed Breed,,0.5900976523850008,1,Medio,OOF desarrollo
1a76190c5,data/raw_petfinder/train_images/1a76190c5-1.jpg,test,Shih Tzu,Terrier,0.4788662083082879,1,Medio,Test fuera de muestra
543130f60,data/raw_petfinder/train_images/543130f60-1.jpg,valid,Mixed Breed,,0.5514145872409782,1,Medio,OOF desarrollo
deff069a2,data/raw_petfinder/train_images/deff069a2-1.jpg,train,Mixed Breed,,0.5845327041338557,1,Medio,OOF desarrollo
4e3640544,data/raw_petfinder/train_images/4e3640544-1.jpg,test,Mixed Breed,,0.6835515461249697,1,Alto,Test fuera de muestra
