variable,importancia_catboost,importancia_catboost_normalizada
has_name_intake,16.101116,0.161011
age_months_intake,14.562682,0.145627
breed_intake,9.621292,0.096213
found_location,6.067931,0.060679
breed_age_group,5.389622,0.053896
estimated_active_dogs_at_intake,4.980739,0.049807
n_intakes_dogs_last_30d,3.174819,0.031748
condition_intake_type,2.907591,0.029076
n_outcomes_dogs_last_7d,2.579367,0.025794
ratio_intakes_outcomes_30d,2.451363,0.024514
season_condition,2.366534,0.023665
n_outcomes_dogs_last_30d,2.196051,0.021961
age_group_intake_type,2.171891,0.021719
n_intakes_dogs_last_7d,2.114257,0.021143
sterilized_intake,2.086659,0.020867
n_adoptions_dogs_last_30d,1.962612,0.019626
color_intake,1.861461,0.018615
intake_condition,1.836315,0.018363
previous_stay_days,1.670744,0.016707
intake_type,1.646473,0.016465
previous_outcome_type,1.481932,0.014819
age_group,1.443234,0.014432
secondary_breed,1.409791,0.014098
sex,1.212943,0.012129
is_mixed_breed,1.026503,0.010265
intake_hour,0.988994,0.00989
secondary_color,0.744636,0.007446
days_since_previous_intake,0.716315,0.007163
intake_month,0.620832,0.006208
previous_long_stay_count,0.522747,0.005227
intake_season,0.497143,0.004971
intake_dayofweek,0.477597,0.004776
previous_stray_count,0.412399,0.004124
previous_owner_surrender_count,0.33,0.0033
previous_intake_count,0.138315,0.001383
intake_is_weekend,0.074636,0.000746
has_secondary_color,0.063968,0.00064
breed_num_terms,0.039468,0.000395
color_num_terms,0.037043,0.00037
has_secondary_breed,0.011985,0.00012
is_repeat_intake,0.0,0.0
