variable,importancia_catboost_normalizada,importancia_lgbm_normalizada,peso_catboost,peso_lgbm,importancia_ensemble
age_months_intake,0.145627,0.073381,0.725,0.275,0.125759
has_name_intake,0.161011,0.005,0.725,0.275,0.118108
breed_intake,0.096213,0.0,0.725,0.275,0.069754
estimated_active_dogs_at_intake,0.049807,0.088286,0.725,0.275,0.060389
found_location,0.060679,0.0,0.725,0.275,0.043992
n_intakes_dogs_last_30d,0.031748,0.066048,0.725,0.275,0.04118
ratio_intakes_outcomes_30d,0.024514,0.08181,0.725,0.275,0.04027
n_outcomes_dogs_last_7d,0.025794,0.074571,0.725,0.275,0.039208
breed_age_group,0.053896,0.0,0.725,0.275,0.039075
n_intakes_dogs_last_7d,0.021143,0.07719,0.725,0.275,0.036556
n_adoptions_dogs_last_30d,0.019626,0.072381,0.725,0.275,0.034134
n_outcomes_dogs_last_30d,0.021961,0.060143,0.725,0.275,0.032461
condition_intake_type,0.029076,0.0,0.725,0.275,0.02108
intake_hour,0.00989,0.049762,0.725,0.275,0.020855
intake_condition,0.018363,0.020048,0.725,0.275,0.018826
intake_type,0.016465,0.022524,0.725,0.275,0.018131
sterilized_intake,0.020867,0.008333,0.725,0.275,0.01742
previous_stay_days,0.016707,0.018905,0.725,0.275,0.017311
season_condition,0.023665,0.0,0.725,0.275,0.017157
secondary_breed,0.014098,0.022429,0.725,0.275,0.016389
age_group_intake_type,0.021719,0.0,0.725,0.275,0.015746
color_intake,0.018615,0.0,0.725,0.275,0.013496
main_breed_grouped,0.0,0.047714,0.725,0.275,0.013121
intake_dayofweek,0.004776,0.035,0.725,0.275,0.013088
age_group,0.014432,0.008619,0.725,0.275,0.012833
previous_outcome_type,0.014819,0.005905,0.725,0.275,0.012368
intake_month,0.006208,0.026524,0.725,0.275,0.011795
days_since_previous_intake,0.007163,0.024,0.725,0.275,0.011793
sex,0.012129,0.010476,0.725,0.275,0.011674
secondary_color,0.007446,0.018619,0.725,0.275,0.010519
is_mixed_breed,0.010265,0.005952,0.725,0.275,0.009079
main_color_grouped,0.0,0.027048,0.725,0.275,0.007438
intake_season,0.004971,0.013667,0.725,0.275,0.007362
previous_long_stay_count,0.005227,0.002333,0.725,0.275,0.004431
previous_stray_count,0.004124,0.004048,0.725,0.275,0.004103
found_location_grouped,0.0,0.012905,0.725,0.275,0.003549
previous_owner_surrender_count,0.0033,0.002524,0.725,0.275,0.003087
has_secondary_color,0.00064,0.00681,0.725,0.275,0.002337
previous_intake_count,0.001383,0.002905,0.725,0.275,0.001802
has_secondary_breed,0.00012,0.004,0.725,0.275,0.001187
intake_is_weekend,0.000746,9.5e-05,0.725,0.275,0.000567
breed_num_terms,0.000395,4.8e-05,0.725,0.275,0.0003
color_num_terms,0.00037,0.0,0.725,0.275,0.000268
is_repeat_intake,0.0,0.0,0.725,0.275,0.0
