variable,importancia_lgbm,importancia_lgbm_normalizada
estimated_active_dogs_at_intake,1854,0.088286
ratio_intakes_outcomes_30d,1718,0.08181
n_intakes_dogs_last_7d,1621,0.07719
n_outcomes_dogs_last_7d,1566,0.074571
age_months_intake,1541,0.073381
n_adoptions_dogs_last_30d,1520,0.072381
n_intakes_dogs_last_30d,1387,0.066048
n_outcomes_dogs_last_30d,1263,0.060143
intake_hour,1045,0.049762
main_breed_grouped,1002,0.047714
intake_dayofweek,735,0.035
main_color_grouped,568,0.027048
intake_month,557,0.026524
days_since_previous_intake,504,0.024
intake_type,473,0.022524
secondary_breed,471,0.022429
intake_condition,421,0.020048
previous_stay_days,397,0.018905
secondary_color,391,0.018619
intake_season,287,0.013667
found_location_grouped,271,0.012905
sex,220,0.010476
age_group,181,0.008619
sterilized_intake,175,0.008333
has_secondary_color,143,0.00681
is_mixed_breed,125,0.005952
previous_outcome_type,124,0.005905
has_name_intake,105,0.005
previous_stray_count,85,0.004048
has_secondary_breed,84,0.004
previous_intake_count,61,0.002905
previous_owner_surrender_count,53,0.002524
previous_long_stay_count,49,0.002333
intake_is_weekend,2,0.000095
breed_num_terms,1,0.000048
color_num_terms,0,0.0
is_repeat_intake,0,0.0
