variable,mean_abs_shap,mean_shap,mean_abs_shap_normalizado
has_name_intake,0.464914,0.005745,0.162851
breed_intake,0.342076,-0.011214,0.119823
age_months_intake,0.238459,0.004341,0.083528
found_location,0.160819,-0.018224,0.056332
sterilized_intake,0.15458,0.013889,0.054146
breed_age_group,0.154284,-0.001332,0.054043
estimated_active_dogs_at_intake,0.153415,-0.005997,0.053738
condition_intake_type,0.125172,-0.001173,0.043845
is_mixed_breed,0.077955,0.002128,0.027306
age_group_intake_type,0.075485,0.010573,0.026441
season_condition,0.07437,-0.004409,0.026051
n_outcomes_dogs_last_30d,0.072193,-0.013212,0.025288
color_intake,0.063655,0.00429,0.022297
previous_outcome_type,0.059014,0.016161,0.020672
n_intakes_dogs_last_30d,0.057126,-0.013121,0.02001
n_outcomes_dogs_last_7d,0.050936,0.01126,0.017842
intake_condition,0.050902,-0.012489,0.01783
ratio_intakes_outcomes_30d,0.049137,-7.3e-05,0.017212
n_adoptions_dogs_last_30d,0.047786,-0.003181,0.016739
previous_stay_days,0.045138,0.004149,0.015811
intake_type,0.044967,0.002755,0.015751
n_intakes_dogs_last_7d,0.043334,-0.009287,0.015179
sex,0.042823,0.000837,0.015
secondary_breed,0.03693,0.001443,0.012936
age_group,0.034755,0.000964,0.012174
previous_stray_count,0.02044,0.000376,0.00716
intake_season,0.018443,0.006282,0.00646
intake_dayofweek,0.01576,0.002164,0.005521
intake_hour,0.015254,0.001708,0.005343
secondary_color,0.013708,-0.003238,0.004802
intake_month,0.012931,0.000753,0.004529
previous_long_stay_count,0.011499,-0.001318,0.004028
days_since_previous_intake,0.008572,0.002564,0.003003
previous_owner_surrender_count,0.003938,-0.002172,0.00138
previous_intake_count,0.003856,-8.3e-05,0.001351
has_secondary_color,0.002675,3.5e-05,0.000937
intake_is_weekend,0.002643,-4.4e-05,0.000926
color_num_terms,0.002263,1e-05,0.000793
has_secondary_breed,0.001492,-1e-05,0.000523
breed_num_terms,0.001148,-8e-05,0.000402
is_repeat_intake,0.0,0.0,0.0
