PetID,sentiment_score,sentiment_magnitude,sentiment_language,n_sentences_sentiment,n_entities_sentiment
bf8aa8f96,0.3,4.3,en,9,20
e7176bba4,0.1,2.7,en,7,10
e239373ff,0.7,1.5,en,2,2
44594e996,0.0,1.1,en,3,4
cbdeed3f9,0.1,0.1,en,1,2
6e31c7d5c,0.4,1.8,en,4,5
1c7619fdc,0.3,1.9,en,4,9
bdc7db9b6,0.0,0.3,en,4,2
7f8f45a35,0.6,1.2,en,2,3
bc22c806a,0.7,0.7,en,1,2
53037f091,0.2,1.2,en,3,10
95e9ad1b2,0.2,4.3,en,10,25
2a89fe4a5,0.1,0.7,en,4,7
6da091c79,0.1,1.3,en,5,14
eb4dde79e,0.2,1.1,en,4,8
1368f0b22,0.3,2.5,en,3,11
88448bdc5,0.1,2.1,en,5,10
dc589864d,0.2,1.6,en,5,10
4ae940ec2,0.0,0.8,en,7,14
d59f3a6cc,0.8,1.6,en,2,1
4194f0f66,0.2,2.3,en,5,6
19db3e21f,0.3,1.1,en,3,9
427755203,0.0,0.0,en,1,2
5eb355cea,0.5,4.5,en,8,15
f83695eb0,0.0,1.8,en,4,15
886debfe8,0.4,5.9,en,10,14
4427541c0,0.1,2.4,en,9,14
c0f651276,0.0,3.2,en,5,10
5017052e7,0.3,1.7,en,3,2
ffdad97e5,0.7,2.1,en,3,7
00709d75b,0.2,1.8,en,7,12
3b3349318,0.5,0.5,en,1,0
1a676ca88,0.3,1.0,en,3,5
ec14446ba,0.4,4.8,en,7,12
c1d58a395,0.5,1.1,en,2,4
7af35cc82,0.3,1.8,en,5,5
d4aa3713a,0.3,0.6,en,2,0
9243b2c43,0.3,0.3,en,1,3
16eefbec7,0.3,0.3,en,1,3
ddc3af1ee,0.0,3.5,en,8,22
731a2ef80,0.2,3.2,en,6,13
356d41ee2,0.0,0.0,en,1,1
df4354823,0.4,2.4,en,5,13
7759517e2,0.9,0.9,en,1,3
17e6747da,0.2,5.3,en,16,31
4bff9728d,0.5,2.0,en,3,6
80de23d7a,0.5,1.6,en,3,3
a1eb5f685,0.6,0.6,en,1,5
3a5fb3c1f,-0.5,0.5,en,1,2
66757255c,0.6,3.2,en,5,9
15b27df66,0.2,3.0,en,7,13
bd2f5699b,0.6,2.7,en,4,5
b28bc9e65,0.0,2.1,en,4,9
378406cf4,0.1,0.7,en,4,7
33bfeb403,0.3,3.3,en,7,12
1696809dd,0.0,0.0,en,1,1
cf51903db,0.6,4.1,en,6,16
fb278c21e,0.4,1.4,en,3,3
e064d3504,0.4,2.1,en,4,8
9351715a9,0.2,1.4,en,4,17
bbdcd94a9,0.1,1.9,en,5,10
f27915d51,-0.4,0.4,en,1,1
21fc38738,0.5,2.8,en,5,17
e24a30aaa,0.2,3.4,en,6,29
d38fca349,0.1,4.0,en,11,37
4d3526802,0.2,1.4,en,5,10
215f9a760,0.4,3.3,en,8,13
9ad6f6fae,0.1,2.3,en,6,15
79b514f79,0.7,0.7,en,1,4
f8619af42,0.7,0.7,en,1,3
1d20ba693,0.3,1.3,en,4,10
4dc593f4e,0.3,0.9,en,3,5
dd4f3b8a8,0.3,1.6,en,3,10
4ea31a03a,0.2,1.8,en,3,5
01e410583,0.2,1.8,en,8,13
eb90062ec,0.4,2.6,en,6,10
1326c53f9,0.2,3.3,en,7,26
ad6e56af2,0.0,0.2,en,3,2
d0bf2b3bf,0.1,3.1,en,10,21
d3b4f29f8,0.5,3.1,en,6,13
8867faa98,0.3,1.8,en,4,5
4f4028c04,0.2,0.6,en,3,8
d49ea4e84,0.2,7.5,en,16,28
1c967561d,0.4,1.9,en,4,7
6d815d3ef,0.1,1.5,en,5,3
edac63019,0.3,4.5,en,10,18
c7561189e,0.2,2.1,en,5,6
ec2bb7160,0.7,3.0,en,4,7
ab8dfa983,0.1,0.1,en,1,2
fc9773fa5,0.8,1.7,en,2,10
ed81d1da8,0.1,0.1,en,1,1
30aa1059a,0.1,2.3,en,8,10
ed74a9822,0.3,2.3,en,5,10
b8976d821,0.0,1.7,en,3,10
abd366564,-0.1,1.1,en,6,17
fa1a30192,0.0,0.3,en,2,3
8bed563dd,0.2,1.0,en,3,11
09e39377f,0.4,1.4,en,3,4
ce18c7a4b,-0.1,4.4,en,12,28
5e54f4e06,-0.1,0.3,en,2,2
1cc20af0a,0.0,2.1,en,5,8
235a61374,0.0,2.2,en,5,12
0c6c71a55,0.4,2.8,en,6,15
c1816081f,0.5,2.5,en,5,8
59d95faef,-0.4,0.4,en,1,3
cbf20c4b0,0.1,3.9,en,6,19
fd2d48292,0.5,1.0,en,2,2
b48aa9d4a,0.3,1.2,en,3,4
d6e372a1d,0.9,0.9,en,1,2
f796b0a30,0.5,8.3,en,14,27
e69df38b4,0.1,1.4,en,2,9
f61e89a28,-0.1,1.2,en,4,6
521320b95,0.2,1.4,en,3,9
af86d93ba,0.0,1.9,en,4,9
9b09190e4,0.0,1.5,en,2,6
be340bbe7,0.0,2.5,en,9,18
cc492b6b5,-0.4,0.9,en,2,11
0b4a33baa,0.5,3.0,en,6,9
140ef35de,-0.6,0.6,en,1,3
804d08f42,0.3,1.6,en,4,24
1a54d4e92,0.5,3.1,en,6,8
a7eb03730,0.2,2.1,en,3,14
00c71a320,0.4,0.9,en,2,4
d574448ee,0.3,3.8,en,9,18
8ef4b6cf3,0.4,0.9,en,2,12
9e3d235d8,0.5,2.8,en,5,13
75332917e,0.0,0.0,en,1,2
109823680,0.2,1.0,en,3,3
8ce613036,0.3,3.9,en,11,22
92f84c5b7,0.1,1.8,en,4,12
