PetID,conjunto_petfinder
3422e4906,train
5842f1ff5,train
850a43f90,test
97aa9eeac,valid
8b693ca84,train
aaedd873d,train
c02be41e6,test
1fd342e17,train
f9d07d5fa,train
1c92ce464,train
6436c1a59,train
234a5a54c,train
1bf24d8be,valid
7843a9dca,train
1a76190c5,test
543130f60,valid
deff069a2,train
4e3640544,test
671ffc570,valid
aece6e7bf,train
c1e816568,train
ea159d8da,train
af1035c81,train
6fecc5cf7,train
015c75c9e,train
9609a0b86,train
c740abfe1,test
d765ae877,train
8ce183889,train
f0ef9c777,train
3181e5424,valid
9883a048e,train
b0dec8779,test
e8d0907ae,test
ef14861df,train
a9bc357f0,train
aaf4a1439,test
1e62e6022,train
4e797dcdd,test
45d2ddcb8,train
259b10a3e,train
d2490c888,train
2c93c0c11,valid
35593da00,valid
4cc70e613,train
ff125cf8d,valid
c30dd6e9a,test
be9474b85,train
815f4cc08,valid
867308404,train
258667857,test
fd3172797,train
8df0bb3b3,test
3d0752cd9,valid
573b3ec3d,valid
6a763a055,train
a44d42407,train
cc8401c02,train
43ddb2eb4,train
dae92dd61,valid
a6ac8884b,train
d50e11ec5,train
27b6e5aca,train
80ebea85c,test
b84dad49f,train
f0a2122d4,train
46d88ca3e,test
c61f6507e,train
e464fcd4b,train
86379f12f,train
392d3346e,valid
35c0c3aca,train
d080818c3,train
6f0cb510a,train
61ac3c78c,train
368b2adc1,train
4c594983d,test
05f99fc56,train
6d9b202c9,valid
54791dc58,train
48b418070,valid
8e0d65b3e,train
9a34ddc8b,train
474bccd75,train
e4abb93bf,valid
a8cdba660,train
9bcd62ef1,train
c3f2f166d,train
687e9c33c,valid
bb5f471dd,train
dcba09ff1,train
d7f938acd,test
ea11b6f12,train
3332eb59c,train
594e3dc3f,valid
fbb112b7e,test
d14d62508,test
747c82f83,test
c737c30d7,train
03b0568b3,test
5c28a8cec,valid
2c8ae4c7e,train
cd7bea671,test
aa189a931,train
eab8c8c03,train
3b4a987ba,train
1bbb46822,test
702bee848,test
66757255c,train
0b0f596b5,train
938bcf142,train
bea72e6c5,train
52e555a3a,train
3998bcfec,train
e62e5aa26,train
1eb8a0278,train
207d61997,train
65d10be4d,test
c7b468b32,train
249112486,train
b243b8e93,valid
89523a695,valid
b5fcc079e,train
d4e83ee5b,test
74e316be1,test
039509c40,valid
eeb60466e,train
82137b39f,train
f70251906,valid
e83f846eb,train
60b9421cc,train
0bd4aed6b,valid
ae03f99f2,test
6a5c652b5,test
706a9cd5c,train
62550cf78,test
701c5afba,train
7bce76c66,train
3b0b88ac2,valid
a88d34ee3,train
061378b30,train
d5b9e0322,train
a2dc697f6,test
be7b65c23,train
e37f4aa07,test
7de2f688b,train
e7020fa9a,train
be23e42d0,train
1c59cecac,train
e7e1904f4,train
d78d1dec0,train
0443d6f82,train
fa1a30192,train
d4d6997e3,train
d13d93f69,test
3bef75882,train
60bf93971,train
e9eeadf82,train
a4530b1d0,train
da6bb3100,train
79669f807,train
3af2b1473,valid
b8976d821,train
9eb98f34c,train
e317b2a73,train
ebd78e1d4,train
0822c54d5,train
4036e0e12,train
0fb490c9b,valid
284be445a,valid
145883970,train
e3d9dc96d,valid
6e643eba1,train
a1b3dafc9,train
bda2d149e,test
6cb5381cb,test
366a03818,valid
a8a8f95f6,train
5eeb10b7a,train
f03b04b1e,train
a672ea96d,train
aafb75ee8,train
e9cf01a21,valid
1c74d62ed,test
2148c2ef6,train
479500716,valid
1afdf61ec,valid
110d4487e,train
27cede3cf,valid
99dcd9020,train
a13ed5e9d,train
82aa52460,train
4c9f111f1,valid
eb6c692dc,test
109c4f5a8,valid
eb652ec07,test
026ebf139,test
1a9733afb,train
1a54d4e92,train
8526200d3,train
8df39788a,valid
045543730,train
bf50b399e,train
dee525fcd,test
ceed27182,train
9c87d70e5,train
4574e3de4,train
794a45833,train
800a7c025,train
6c75b9082,train
3f9f466d1,train
8bf9a6b80,train
3a3ae56f1,train
9718baba0,train
cdd7aee45,train
ba311fc1a,test
bb05c1ce8,test
4060caeb1,valid
5a2c8a05f,train
75bbaa3fa,train
b4eb7f4df,train
fd32ce3ef,test
a15d8c8a8,train
ab599a6ac,train
81da09ea9,test
0f122f712,train
58a10d0cd,train
3b1976326,train
bfb33b149,train
375905770,train
9ec161c16,test
19f38a3f0,train
e2f1f5377,valid
b912b1114,train
bd9e9d9e2,train
084874570,train
3cc84c2f8,train
9a770c49a,test
997db5df5,train
8705145ca,test
81d97fa9f,test
78b07d4e0,train
fb3bd80d1,train
1a1283447,train
90592e40c,valid
e4e5ea1d2,train
e7a74fca8,test
a5595a935,train
c7575df7b,valid
e81c6347b,train
76d5726c4,train
1a9e7158e,train
d38bcdf49,train
85a79f281,valid
91c2159dd,valid
91d6a2898,valid
cfddf0c47,train
072ae6d9e,train
b5df81f99,test
2c24655fe,train
c8208c3c9,test
9a9f6c753,train
92b89a666,train
6819ce556,test
17bdf954a,train
53cd96ef8,valid
da327c74b,train
878e36da4,valid
1ffe668f9,test
9a2f44ddf,train
432904c5d,train
d30b90a39,test
20559d623,test
3b0b2a86a,test
64c1c412b,train
0e6dd5e23,train
184ea777b,train
86547ad6d,train
ead547f1b,train
703f38466,test
60b188249,train
3c5e8cc5d,train
9f533475e,train
0636650db,train
d8128cefd,test
dd2ec7bf4,train
fcf377cce,train
d4b028ea8,train
7f8f45a35,test
c92256e41,train
6c3a05812,train
5d1fa8ddf,train
68cdd6d6b,test
1171c9a41,valid
3db150833,train
3b8b38508,valid
2e1d4e279,valid
c3cafb38c,test
a6e902691,train
e3f841674,train
2cea63a41,train
1751240fe,valid
9a3c966a9,train
27104e464,train
da8a47785,train
1ba11aaaa,train
e5164d828,valid
a0dd85af0,train
0392c0c81,train
fff24fcb5,valid
1195168b6,train
accca912b,valid
27c4981c9,test
12d514ef2,train
17e6747da,test
0052dcf47,train
cdb855a69,valid
6f93a41c5,valid
dc56ff89a,train
23379775f,train
fca85f778,train
87f4ea65f,train
97dc6aa32,train
bb4c6519d,train
d95eabfe9,train
146d950bc,train
0b8614414,train
20d4ea30e,train
f98750599,test
fc9b4b692,train
487abc5e1,train
5c66641a1,valid
518f86025,train
8dfe4da6a,valid
94bcf0199,train
e758e4c0c,train
f2b656028,test
782eb0d9d,train
7fd7b7583,test
655cfc630,train
7687b7da2,train
203e2bd3c,train
6b0103c04,train
f99a5e817,test
157e3e074,train
68731378e,test
eb8aeff64,train
79f8b048f,train
846e720dc,train
13d0266c5,train
9744dcc69,train
a2ae5fa7d,train
b9d6b1488,train
1ffb40e20,test
1ee56e81a,train
f4415e636,test
f91147e5f,train
