PetID,target_adopcion_lenta,conjunto_petfinder,ruta_imagen_principal,numero_imagen_principal,PhotoAmt,VideoAmt,image_width,image_height,image_aspect_ratio
3422e4906,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\3422e4906-1.jpg,1.0,7.0,0,300.0,400.0,0.75
5842f1ff5,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\5842f1ff5-1.jpg,1.0,8.0,0,400.0,300.0,1.3333333333333333
850a43f90,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\850a43f90-1.jpg,1.0,3.0,0,640.0,427.0,1.4988290398126465
97aa9eeac,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\97aa9eeac-1.jpg,1.0,9.0,0,300.0,400.0,0.75
8b693ca84,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\8b693ca84-1.jpg,1.0,7.0,0,264.0,480.0,0.55
aaedd873d,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\aaedd873d-1.jpg,1.0,1.0,0,300.0,400.0,0.75
c02be41e6,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\c02be41e6-1.jpg,1.0,2.0,0,271.0,480.0,0.5645833333333333
1fd342e17,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\1fd342e17-1.jpg,1.0,2.0,0,360.0,480.0,0.75
f9d07d5fa,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\f9d07d5fa-1.jpg,1.0,2.0,0,225.0,300.0,0.75
1c92ce464,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\1c92ce464-1.jpg,1.0,8.0,0,300.0,400.0,0.75
6436c1a59,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\6436c1a59-1.jpg,1.0,7.0,0,400.0,300.0,1.3333333333333333
234a5a54c,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\234a5a54c-1.jpg,1.0,5.0,0,400.0,300.0,1.3333333333333333
1a76190c5,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\1a76190c5-1.jpg,1.0,5.0,0,300.0,400.0,0.75
543130f60,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\543130f60-1.jpg,1.0,1.0,0,480.0,480.0,1.0
deff069a2,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\deff069a2-1.jpg,1.0,4.0,0,299.0,400.0,0.7475
4e3640544,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\4e3640544-1.jpg,1.0,1.0,0,127.0,225.0,0.5644444444444444
671ffc570,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\671ffc570-1.jpg,1.0,6.0,0,309.0,400.0,0.7725
aece6e7bf,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\aece6e7bf-1.jpg,1.0,2.0,0,203.0,360.0,0.5638888888888889
c1e816568,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\c1e816568-1.jpg,1.0,11.0,0,471.0,480.0,0.98125
ea159d8da,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\ea159d8da-1.jpg,1.0,3.0,0,640.0,480.0,1.3333333333333333
af1035c81,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\af1035c81-1.jpg,1.0,3.0,0,346.0,480.0,0.7208333333333333
6fecc5cf7,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\6fecc5cf7-1.jpg,1.0,13.0,0,360.0,480.0,0.75
015c75c9e,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\015c75c9e-1.jpg,1.0,3.0,0,270.0,480.0,0.5625
9609a0b86,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\9609a0b86-1.jpg,1.0,5.0,0,400.0,300.0,1.3333333333333333
d765ae877,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\d765ae877-1.jpg,1.0,2.0,0,400.0,240.0,1.6666666666666667
8ce183889,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\8ce183889-1.jpg,1.0,3.0,0,127.0,225.0,0.5644444444444444
f0ef9c777,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\f0ef9c777-1.jpg,1.0,2.0,0,360.0,480.0,0.75
3181e5424,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\3181e5424-1.jpg,1.0,2.0,0,399.0,480.0,0.83125
9883a048e,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\9883a048e-1.jpg,1.0,5.0,0,400.0,267.0,1.4981273408239701
b0dec8779,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\b0dec8779-1.jpg,1.0,21.0,0,313.0,400.0,0.7825
e8d0907ae,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\e8d0907ae-1.jpg,1.0,5.0,0,299.0,400.0,0.7475
ef14861df,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\ef14861df-1.jpg,1.0,3.0,0,640.0,633.0,1.0110584518167456
a9bc357f0,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\a9bc357f0-1.jpg,1.0,1.0,0,480.0,480.0,1.0
aaf4a1439,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\aaf4a1439-1.jpg,1.0,1.0,0,270.0,480.0,0.5625
1e62e6022,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\1e62e6022-1.jpg,1.0,5.0,0,300.0,400.0,0.75
4e797dcdd,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\4e797dcdd-1.jpg,1.0,3.0,0,640.0,640.0,1.0
45d2ddcb8,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\45d2ddcb8-1.jpg,1.0,5.0,0,300.0,400.0,0.75
259b10a3e,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\259b10a3e-1.jpg,1.0,1.0,0,225.0,399.0,0.5639097744360902
d2490c888,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\d2490c888-1.jpg,1.0,3.0,1,225.0,300.0,0.75
2c93c0c11,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\2c93c0c11-1.jpg,1.0,3.0,0,360.0,480.0,0.75
35593da00,0,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\35593da00-1.jpg,1.0,5.0,0,270.0,480.0,0.5625
4cc70e613,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\4cc70e613-1.jpg,1.0,1.0,0,640.0,360.0,1.7777777777777777
ff125cf8d,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\ff125cf8d-1.jpg,1.0,1.0,0,400.0,261.0,1.5325670498084292
