variable,importancia,importancia_normalizada
breed_intake,14.545363059232441,0.145454
has_name_intake,11.777221045261797,0.117772
age_months_intake,11.701211676404279,0.117012
found_location,8.933541083524572,0.089335
sterilized_intake,5.819432413808114,0.058194
age_group_intake_type,4.936139527841135,0.049361
condition_intake_type,4.266363099118672,0.042664
breed_age_group,3.6026013014221663,0.036026
n_outcomes_dogs_last_30d,3.210877900173239,0.032109
estimated_active_dogs_at_intake,3.081339090407861,0.030813
n_outcomes_dogs_last_7d,2.592569068942597,0.025926
previous_stay_days,2.412684077455508,0.024127
n_intakes_dogs_last_7d,2.2400270602201426,0.0224
n_intakes_dogs_last_30d,2.1910326780314113,0.02191
season_condition,1.740013494682234,0.0174
previous_outcome_type,1.6078271091338878,0.016078
intake_hour,1.5244075647103092,0.015244
intake_type,1.4487420334660412,0.014487
previous_long_stay_count,1.3718994153824557,0.013719
is_mixed_breed,1.2813938553861364,0.012814
intake_condition,1.2317951523477568,0.012318
n_adoptions_dogs_last_30d,1.0855465690927033,0.010855
color_intake,0.9869747820988333,0.00987
age_group,0.8948913901161325,0.008949
secondary_breed,0.7812850813726666,0.007813
days_since_previous_intake,0.6845522333167146,0.006846
sex,0.6474955595760301,0.006475
ratio_intakes_outcomes_30d,0.6204945791639424,0.006205
intake_dayofweek,0.5444687831423646,0.005445
previous_stray_count,0.5283908357999327,0.005284
intake_season,0.5162814789677534,0.005163
intake_month,0.41367544072168555,0.004137
previous_owner_surrender_count,0.28386999608070435,0.002839
secondary_color,0.23089490014168634,0.002309
previous_intake_count,0.1716597865484346,0.001717
intake_is_weekend,0.03166522836502536,0.000317
has_secondary_color,0.019618694646625134,0.000196
is_repeat_intake,0.0174340786457968,0.000174
breed_num_terms,0.01294990517802353,0.000129
has_secondary_breed,0.010633472260029059,0.000106
color_num_terms,0.0007354978123385686,7e-06
