archivo,indice_local,label,raza_display
train-00000-of-00006.parquet,10,0,Shiba Dog
train-00000-of-00006.parquet,23,0,Shiba Dog
train-00000-of-00006.parquet,25,0,Shiba Dog
train-00000-of-00006.parquet,30,0,Shiba Dog
train-00000-of-00006.parquet,39,0,Shiba Dog
train-00000-of-00006.parquet,44,0,Shiba Dog
train-00000-of-00006.parquet,54,0,Shiba Dog
train-00000-of-00006.parquet,55,0,Shiba Dog
train-00000-of-00006.parquet,59,0,Shiba Dog
train-00000-of-00006.parquet,60,0,Shiba Dog
train-00000-of-00006.parquet,63,0,Shiba Dog
train-00000-of-00006.parquet,66,0,Shiba Dog
train-00000-of-00006.parquet,67,0,Shiba Dog
train-00000-of-00006.parquet,70,0,Shiba Dog
train-00000-of-00006.parquet,72,0,Shiba Dog
train-00000-of-00006.parquet,76,0,Shiba Dog
train-00000-of-00006.parquet,86,0,Shiba Dog
train-00000-of-00006.parquet,88,0,Shiba Dog
train-00000-of-00006.parquet,96,0,Shiba Dog
train-00000-of-00006.parquet,101,0,Shiba Dog
train-00000-of-00006.parquet,107,0,Shiba Dog
train-00000-of-00006.parquet,120,0,Shiba Dog
train-00000-of-00006.parquet,136,0,Shiba Dog
train-00000-of-00006.parquet,139,0,Shiba Dog
train-00000-of-00006.parquet,158,0,Shiba Dog
train-00000-of-00006.parquet,168,0,Shiba Dog
train-00000-of-00006.parquet,174,0,Shiba Dog
train-00000-of-00006.parquet,184,0,Shiba Dog
train-00000-of-00006.parquet,198,0,Shiba Dog
train-00000-of-00006.parquet,199,0,Shiba Dog
train-00000-of-00006.parquet,209,0,Shiba Dog
train-00000-of-00006.parquet,213,0,Shiba Dog
train-00000-of-00006.parquet,215,0,Shiba Dog
train-00000-of-00006.parquet,218,0,Shiba Dog
train-00000-of-00006.parquet,235,0,Shiba Dog
train-00000-of-00006.parquet,237,0,Shiba Dog
train-00000-of-00006.parquet,244,0,Shiba Dog
train-00000-of-00006.parquet,247,0,Shiba Dog
train-00000-of-00006.parquet,249,0,Shiba Dog
train-00000-of-00006.parquet,259,0,Shiba Dog
train-00000-of-00006.parquet,261,0,Shiba Dog
train-00000-of-00006.parquet,277,0,Shiba Dog
train-00000-of-00006.parquet,281,0,Shiba Dog
train-00000-of-00006.parquet,286,0,Shiba Dog
train-00000-of-00006.parquet,290,0,Shiba Dog
train-00000-of-00006.parquet,294,0,Shiba Dog
train-00000-of-00006.parquet,296,0,Shiba Dog
train-00000-of-00006.parquet,298,0,Shiba Dog
train-00000-of-00006.parquet,299,0,Shiba Dog
train-00000-of-00006.parquet,309,0,Shiba Dog
train-00000-of-00006.parquet,310,0,Shiba Dog
train-00000-of-00006.parquet,312,0,Shiba Dog
train-00000-of-00006.parquet,314,0,Shiba Dog
train-00000-of-00006.parquet,321,0,Shiba Dog
train-00000-of-00006.parquet,323,0,Shiba Dog
train-00000-of-00006.parquet,331,0,Shiba Dog
train-00000-of-00006.parquet,332,0,Shiba Dog
train-00000-of-00006.parquet,351,0,Shiba Dog
train-00000-of-00006.parquet,355,0,Shiba Dog
train-00000-of-00006.parquet,365,0,Shiba Dog
train-00000-of-00006.parquet,371,0,Shiba Dog
train-00000-of-00006.parquet,377,0,Shiba Dog
train-00000-of-00006.parquet,380,0,Shiba Dog
train-00000-of-00006.parquet,381,0,Shiba Dog
train-00000-of-00006.parquet,388,0,Shiba Dog
train-00000-of-00006.parquet,394,0,Shiba Dog
train-00000-of-00006.parquet,420,0,Shiba Dog
train-00000-of-00006.parquet,423,0,Shiba Dog
train-00000-of-00006.parquet,429,0,Shiba Dog
train-00000-of-00006.parquet,440,0,Shiba Dog
train-00000-of-00006.parquet,445,0,Shiba Dog
train-00000-of-00006.parquet,447,0,Shiba Dog
train-00000-of-00006.parquet,453,0,Shiba Dog
train-00000-of-00006.parquet,456,0,Shiba Dog
train-00000-of-00006.parquet,465,0,Shiba Dog
train-00000-of-00006.parquet,482,0,Shiba Dog
train-00000-of-00006.parquet,486,0,Shiba Dog
train-00000-of-00006.parquet,495,0,Shiba Dog
train-00000-of-00006.parquet,500,0,Shiba Dog
train-00000-of-00006.parquet,514,0,Shiba Dog
train-00000-of-00006.parquet,516,0,Shiba Dog
train-00000-of-00006.parquet,518,0,Shiba Dog
train-00000-of-00006.parquet,525,0,Shiba Dog
train-00000-of-00006.parquet,527,0,Shiba Dog
train-00000-of-00006.parquet,528,0,Shiba Dog
train-00000-of-00006.parquet,530,0,Shiba Dog
train-00000-of-00006.parquet,535,0,Shiba Dog
train-00000-of-00006.parquet,539,0,Shiba Dog
train-00000-of-00006.parquet,547,0,Shiba Dog
train-00000-of-00006.parquet,557,0,Shiba Dog
train-00000-of-00006.parquet,572,0,Shiba Dog
train-00000-of-00006.parquet,597,0,Shiba Dog
train-00000-of-00006.parquet,603,0,Shiba Dog
train-00000-of-00006.parquet,604,0,Shiba Dog
train-00000-of-00006.parquet,617,0,Shiba Dog
train-00000-of-00006.parquet,626,0,Shiba Dog
train-00000-of-00006.parquet,629,0,Shiba Dog
train-00000-of-00006.parquet,653,0,Shiba Dog
train-00000-of-00006.parquet,655,0,Shiba Dog
train-00000-of-00006.parquet,673,0,Shiba Dog
train-00000-of-00006.parquet,680,0,Shiba Dog
train-00000-of-00006.parquet,682,0,Shiba Dog
train-00000-of-00006.parquet,693,0,Shiba Dog
train-00000-of-00006.parquet,706,0,Shiba Dog
train-00000-of-00006.parquet,716,0,Shiba Dog
train-00000-of-00006.parquet,717,0,Shiba Dog
train-00000-of-00006.parquet,732,0,Shiba Dog
train-00000-of-00006.parquet,734,0,Shiba Dog
train-00000-of-00006.parquet,740,0,Shiba Dog
train-00000-of-00006.parquet,743,0,Shiba Dog
train-00000-of-00006.parquet,751,0,Shiba Dog
train-00000-of-00006.parquet,756,0,Shiba Dog
train-00000-of-00006.parquet,767,0,Shiba Dog
train-00000-of-00006.parquet,770,0,Shiba Dog
train-00000-of-00006.parquet,784,0,Shiba Dog
train-00000-of-00006.parquet,786,0,Shiba Dog
train-00000-of-00006.parquet,790,0,Shiba Dog
train-00000-of-00006.parquet,792,0,Shiba Dog
train-00000-of-00006.parquet,797,0,Shiba Dog
train-00000-of-00006.parquet,802,0,Shiba Dog
train-00000-of-00006.parquet,808,0,Shiba Dog
